1	1	A	1	17.0622	0.012274	63.1665	0.0324279	1.08666	2.55439	2.86631	1.44408
1	1	B	1	9.1758	0.012274	55.2156	0.0324279	1.47248	1.52521	218.60400	6.76258
1	1	A	2	15.9976	0.016802	63.4492	0.0416184	1.15613	2.01960	1.55375	2.44604
1	1	B	2	8.0598	0.016802	55.2185	0.0416184	1.47442	1.22005	128.13300	6.82743
1	1	A	3	15.7302	0.020637	63.4771	0.0462389	1.20294	2.10679	1.16207	1.52378
1	1	B	3	7.8741	0.020637	55.3411	0.0462389	1.44907	1.02866	84.88170	6.20694
1	1	A	4	17.0828	0.023774	64.6940	0.0426778	1.19904	1.89038	1.05780	1.15738
1	1	B	4	9.2610	0.023774	56.6283	0.0426778	1.41417	0.92079	58.42610	7.04497
1	2	A	1	17.1120	0.014025	63.7236	0.0351632	1.15095	2.36498	1.84403	1.67394
1	2	B	1	9.9232	0.014025	54.8868	0.0351632	1.48687	1.58550	222.02500	6.51686
1	2	A	2	14.1851	0.017012	61.1641	0.0386689	1.10322	2.28949	2.02903	0.70040
1	2	B	2	8.7493	0.017012	55.1387	0.0386689	1.51739	1.34940	140.69800	21.59610
1	2	A	3	9.7839	0.019374	57.4250	0.0435247	1.12627	2.17579	1.61316	1.17732
1	2	B	3	8.4743	0.019374	55.4282	0.0435247	1.45632	1.26658	115.61600	10.30230
1	2	A	4	13.7308	0.021557	61.2341	0.0389927	1.07452	1.78955	1.40337	1.32000
1	2	B	4	9.8003	0.021557	56.9404	0.0389927	1.43867	1.12628	72.22220	3.05971
1	3	A	1	14.2752	0.013053	60.7727	0.0337075	1.08329	2.48962	3.50387	1.42262
1	3	B	1	9.1665	0.013053	55.1020	0.0337075	1.48455	1.46702	233.94700	8.80605
1	3	A	2	12.9575	0.016286	60.1288	0.0414874	1.10126	2.22602	1.92792	1.53819
1	3	B	2	8.0932	0.016286	55.0251	0.0414874	1.49059	1.21404	134.92200	9.11673
1	3	A	3	11.9482	0.018984	59.6590	0.0418889	1.12982	2.05193	1.43971	1.20580
1	3	B	3	7.7434	0.018984	55.1489	0.0418889	1.47899	1.07351	105.08800	24.02800
